iter	Passed	Remaining
157	246	1316
158	247	1309
159	248	1302
160	248	1294
161	249	1288
162	249	1281
163	250	1274
164	250	1268
165	251	1263
166	252	1258
167	252	1252
168	253	1246
169	254	1240
170	254	1234
171	255	1228
172	255	1223
173	256	1217
174	257	1211
175	257	1205
176	258	1200
177	258	1194
178	259	1189
179	259	1183
180	260	1178
181	260	1172
182	261	1168
183	262	1164
184	263	1159
185	263	1154
186	264	1149
187	264	1144
188	265	1139
189	266	1134
190	266	1129
191	267	1124
192	267	1119
193	268	1115
194	268	1110
195	269	1105
196	270	1101
197	270	1096
198	271	1092
199	272	1088
200	272	1084
201	273	1080
202	274	1078
203	275	1073
204	275	1069
205	276	1065
206	276	1060
207	277	1056
208	277	1052
209	278	1047
210	279	1043
211	279	1039
212	280	1036
213	281	1032
214	281	1029
215	282	1026
216	283	1022
217	283	1018
218	284	1014
219	285	1010
220	285	1007
221	286	1003
222	286	999
223	287	995
224	288	992
225	288	988
226	289	985
227	289	981
228	290	977
229	290	974
230	291	971
231	292	968
232	293	965
233	293	961
234	294	958
235	294	954
236	295	951
237	296	947
238	296	944
239	297	940
240	297	937
241	298	934
242	298	931
243	299	927
244	300	924
245	300	921
246	301	919
247	302	916
248	303	914
249	303	910
250	304	907
251	304	904
252	305	901
253	306	898
254	306	895
255	307	892
256	307	889
257	308	886
258	308	883
259	309	880
260	309	877
261	310	874
262	311	871
263	311	869
264	312	867
265	313	864
266	314	862
267	314	859
268	315	856
269	315	854
270	316	851
271	317	848
272	317	846
273	318	843
274	318	840
275	319	837
276	320	835
277	320	832
278	321	830
279	322	828
280	322	826
281	323	824
282	324	822
283	325	819
284	325	816
285	326	814
286	326	811
287	327	809
288	327	806
289	328	804
290	329	801
291	329	799
292	330	797
293	330	794
294	331	792
295	332	790
296	333	788
297	333	786
298	334	783
299	334	781
300	335	778
301	335	776
302	336	773
303	336	771
304	337	769
305	338	767
306	338	764
307	339	762
308	339	760
309	340	757
310	341	755
311	341	753
312	342	751
313	343	749
314	343	747
315	344	745
316	345	743
317	345	741
318	346	739
319	347	737
320	347	735
321	348	733
322	348	731
323	349	728
324	349	726
325	350	724
326	351	723
327	352	721
328	352	719
329	353	717
330	353	715
331	354	713
332	355	711
333	356	709
334	356	708
335	357	706
336	357	704
337	358	702
338	359	700
339	359	698
340	360	697
341	361	695
342	362	694
343	363	692
344	364	691
345	364	689
346	365	687
347	366	686
348	366	684
349	367	682
350	368	680
351	368	678
352	369	676
353	369	674
354	370	672
355	371	671
356	371	669
357	372	668
358	373	666
359	374	665
360	375	664
361	376	663
362	376	661
363	377	659
364	378	657
365	378	656
366	379	654
367	379	652
368	380	651
369	381	649
370	382	648
371	383	646
372	383	645
373	384	643
374	385	642
375	386	641
376	387	639
377	387	637
378	388	636
379	388	634
380	389	632
381	390	631
382	391	630
383	392	629
384	393	628
385	394	626
386	394	625
387	395	624
388	396	622
389	397	621
390	397	619
391	398	617
392	398	616
393	399	614
394	400	613
395	401	611
396	401	610
397	402	608
398	403	607
399	404	606
400	404	604
401	405	603
402	406	602
403	407	600
404	407	599
405	408	597
406	408	595
407	409	594
408	410	592
409	410	591
410	411	589
411	412	588
412	413	587
413	414	586
414	414	584
415	415	583
416	416	581
417	416	580
418	417	578
419	417	577
420	418	575
421	419	574
422	419	572
423	420	571
424	421	569
425	421	568
426	422	567
427	423	565
428	424	564
429	425	563
430	425	562
431	426	560
432	427	559
433	427	557
434	428	556
435	428	554
436	429	553
437	430	552
438	430	550
439	431	549
440	432	547
441	433	547
442	434	545
443	434	544
444	435	543
445	436	542
446	437	540
447	437	539
448	438	538
449	438	536
450	439	535
451	440	533
452	441	532
453	441	531
454	442	530
455	443	529
456	444	528
457	445	527
458	446	525
459	446	524
460	447	523
461	448	521
462	448	520
463	449	519
464	450	518
465	451	517
466	452	516
467	452	514
468	453	513
469	454	512
470	454	510
471	455	509
472	455	507
473	456	506
474	457	505
475	458	504
476	459	503
477	459	502
478	460	501
479	461	500
480	462	498
481	462	497
482	463	495
483	463	494
484	464	493
485	465	491
486	465	490
487	466	489
488	467	488
489	468	487
490	468	485
491	469	484
492	470	483
493	471	482
494	471	481
495	472	480
496	473	478
497	473	477
498	474	476
499	474	474
500	475	473
501	476	472
502	476	471
503	477	470
504	478	468
505	479	467
506	480	467
507	481	465
508	481	464
509	482	463
510	483	462
511	484	461
512	485	460
513	486	459
514	486	458
515	487	457
516	488	456
517	489	455
518	489	454
519	490	453
520	491	451
521	492	450
522	492	449
523	493	448
524	493	446
525	494	445
526	494	444
527	495	443
528	496	442
529	497	441
530	498	440
531	499	439
532	499	437
533	500	436
534	501	435
535	501	434
536	502	433
537	502	431
538	503	430
539	503	429
540	504	427
541	504	426
542	505	425
543	506	424
544	506	423
545	507	422
546	508	420
547	509	419
548	509	418
549	510	417
550	511	416
551	512	415
552	512	414
553	513	413
554	514	412
555	514	411
556	515	409
557	516	408
558	516	407
559	517	406
560	518	405
561	518	404
562	519	403
563	520	402
564	520	400
565	521	399
566	521	398
567	522	397
568	523	396
569	523	394
570	524	393
571	524	392
572	525	391
573	525	390
574	526	389
575	527	388
576	527	387
577	528	385
578	529	384
579	529	383
580	530	382
581	530	381
582	531	380
583	531	378
584	532	377
585	533	376
586	533	375
587	534	374
588	534	373
589	535	372
590	536	371
591	536	370
592	537	368
593	538	367
594	538	366
595	539	365
596	539	364
597	540	363
598	540	362
599	541	360
600	542	359
601	542	358
602	543	357
603	543	356
604	544	355
605	544	354
606	545	353
607	546	352
608	546	351
609	547	349
610	547	348
611	548	347
612	549	346
613	549	345
614	550	344
615	550	343
616	551	342
617	551	341
618	552	339
619	552	338
620	553	337
621	553	336
622	554	335
623	555	334
624	556	333
625	556	332
626	557	331
627	558	330
628	559	329
629	559	328
630	560	327
631	560	326
632	561	325
633	562	324
634	562	323
635	563	322
636	563	321
637	564	320
638	564	319
639	565	318
640	566	317
641	566	316
642	567	315
643	568	314
644	569	313
645	569	312
646	570	311
647	570	309
648	571	308
649	571	307
650	572	306
651	572	305
652	573	304
653	574	303
654	574	302
655	575	301
656	576	300
657	576	299
658	577	298
659	577	297
660	578	296
661	579	295
662	579	294
663	580	293
664	580	292
665	581	291
666	581	290
667	582	289
668	582	288
669	583	287
670	584	286
671	584	285
672	585	284
673	586	283
674	586	282
675	587	281
676	587	280
677	588	279
678	589	278
679	589	277
680	590	276
681	590	275
682	591	274
683	591	273
684	592	272
685	592	271
686	593	270
687	593	269
688	594	268
689	595	267
690	595	266
691	596	265
692	597	264
693	597	263
694	598	262
695	598	261
696	599	260
697	600	259
698	600	258
699	601	257
700	601	256
701	602	255
702	602	254
703	603	253
704	603	252
705	604	251
706	605	250
707	605	249
708	606	248
709	607	247
710	607	247
711	608	246
712	608	245
713	609	244
714	609	243
715	610	242
716	611	241
717	611	240
718	612	239
719	612	238
720	613	237
721	613	236
722	614	235
723	614	234
724	615	233
725	616	232
726	616	231
727	617	230
728	618	229
729	618	228
730	619	227
731	619	226
732	620	225
733	620	224
734	621	224
735	621	223
736	622	222
737	623	221
738	623	220
739	624	219
740	624	218
741	625	217
742	626	216
743	626	215
744	627	214
745	628	213
746	628	212
747	629	211
748	629	211
749	630	210
750	630	209
751	631	208
752	631	207
753	632	206
754	633	205
755	633	204
756	634	203
757	634	202
758	635	201
759	636	200
760	636	200
761	637	199
762	637	198
763	638	197
764	639	196
765	639	195
766	640	194
767	640	193
768	641	192
769	641	191
770	642	190
771	642	189
772	643	188
773	643	188
774	644	187
775	645	186
776	645	185
777	646	184
778	647	183
779	647	182
780	648	181
781	649	180
782	649	180
783	650	179
784	651	178
785	651	177
786	652	176
787	653	175
788	653	174
789	654	173
790	655	173
791	655	172
792	656	171
793	657	170
794	657	169
795	658	168
796	659	167
797	659	166
798	660	166
799	660	165
800	661	164
801	661	163
802	662	162
803	663	161
804	663	160
805	664	159
806	664	158
807	665	158
808	666	157
809	667	156
810	667	155
811	668	154
812	668	153
813	669	152
814	669	152
815	670	151
816	670	150
817	671	149
818	672	148
819	672	147
820	673	146
821	673	145
822	674	145
823	674	144
824	675	143
825	676	142
826	676	141
827	677	140
828	678	139
829	678	139
830	679	138
831	680	137
832	680	136
833	681	135
834	681	134
835	682	133
836	682	132
837	683	132
838	683	131
839	684	130
840	685	129
841	686	128
842	686	127
843	687	127
844	688	126
845	688	125
846	689	124
847	689	123
848	690	122
849	691	121
850	691	121
851	692	120
852	692	119
853	693	118
854	693	117
855	694	116
856	695	115
857	695	115
858	696	114
859	697	113
860	698	112
861	698	111
862	699	111
863	699	110
864	700	109
865	700	108
866	701	107
867	702	106
868	702	105
869	703	105
870	703	104
871	704	103
872	704	102
873	705	101
874	706	100
875	706	100
876	707	99
877	707	98
878	708	97
879	709	96
880	709	95
881	710	94
882	710	94
883	711	93
884	711	92
885	712	91
886	712	90
887	713	89
888	713	89
889	714	88
890	714	87
891	715	86
892	716	85
893	717	85
894	718	84
895	718	83
896	719	82
897	720	81
898	720	80
899	721	80
900	722	79
901	722	78
902	723	77
903	723	76
904	724	76
905	725	75
906	725	74
907	726	73
908	727	72
909	727	71
910	728	71
911	729	70
912	729	69
913	730	68
914	730	67
915	731	67
916	732	66
917	732	65
918	733	64
919	734	63
920	734	63
921	735	62
922	736	61
923	737	60
924	737	59
925	738	58
926	739	58
927	739	57
928	740	56
929	741	55
930	741	54
931	742	54
932	743	53
933	743	52
934	744	51
935	745	50
936	746	50
937	746	49
938	747	48
939	748	47
940	748	46
941	749	46
942	750	45
943	750	44
944	751	43
945	752	42
946	752	42
947	753	41
948	754	40
949	754	39
950	755	38
951	756	38
952	757	37
953	758	36
954	758	35
955	759	34
956	760	34
957	761	33
958	761	32
959	762	31
960	763	30
961	764	30
962	765	29
963	766	28
964	766	27
965	767	27
966	768	26
967	768	25
968	769	24
969	770	23
970	770	23
971	771	22
972	772	21
973	772	20
974	773	19
975	773	19
976	774	18
977	775	17
978	776	16
979	776	15
980	777	15
981	778	14
982	778	13
983	779	12
984	779	11
985	780	11
986	781	10
987	781	9
988	782	8
989	783	7
990	783	7
991	784	6
992	785	5
993	786	4
994	787	3
995	787	3
996	788	2
997	789	1
998	789	0
999	790	0
